"Date","Price","Open","High","Low","Change %"
"May 23, 2019","151.875","151.975","152.875","149.075","-0.33%"
"May 22, 2019","152.375","151.475","152.375","148.575","0.08%"
"May 21, 2019","152.250","147.120","152.800","147.090","3.02%"
"May 20, 2019","147.790","144.800","151.270","144.800","-0.58%"
"May 18, 2019","148.650","148.650","148.650","148.650","0.27%"
"May 17, 2019","148.250","141.300","149.000","140.910","1.65%"
"May 16, 2019","145.840","140.750","146.200","140.750","2.98%"
"May 15, 2019","141.625","140.925","141.725","140.925","-0.04%"
"May 14, 2019","141.675","140.875","141.675","140.875","0.04%"
"May 13, 2019","141.625","140.925","141.665","140.925","0.00%"
"May 11, 2019","141.625","141.625","141.625","141.625","0.00%"
"May 10, 2019","141.625","140.675","141.695","140.675","0.00%"
"May 09, 2019","141.625","140.675","141.625","140.675","0.02%"
"May 08, 2019","141.600","141.400","141.600","140.700","0.07%"
"May 07, 2019","141.500","141.500","141.700","140.850","0.00%"
"May 06, 2019","141.500","141.000","141.800","140.850","0.04%"
"May 04, 2019","141.450","141.450","141.450","141.450","0.00%"
"May 03, 2019","141.450","141.050","141.800","141.050","-0.04%"
"May 02, 2019","141.500","141.050","141.800","141.000","-0.11%"
"May 01, 2019","141.650","140.900","141.650","140.900","0.00%"
"Apr 30, 2019","141.650","140.900","141.820","140.900","0.02%"
"Apr 29, 2019","141.625","140.925","141.705","140.925","-0.02%"
"Apr 27, 2019","141.650","141.650","141.650","141.650","0.00%"
"Apr 26, 2019","141.650","140.900","141.660","140.900","0.02%"
"Apr 25, 2019","141.620","140.900","141.650","140.900","0.01%"
"Apr 24, 2019","141.600","140.950","141.720","140.950","-0.04%"
"Apr 23, 2019","141.660","140.910","141.760","140.890","0.00%"
"Apr 22, 2019","141.660","141.690","141.690","140.910","-0.01%"
"Apr 20, 2019","141.675","141.675","141.675","141.675","0.00%"
"Apr 19, 2019","141.675","140.875","141.675","140.875","0.01%"
"Apr 18, 2019","141.660","141.660","141.760","140.890","0.00%"
"Apr 17, 2019","141.660","140.990","141.720","140.890","0.00%"
"Apr 16, 2019","141.660","141.290","141.730","140.990","0.00%"
"Apr 15, 2019","141.660","141.690","142.040","140.890","0.11%"
"Apr 13, 2019","141.500","141.500","141.500","141.500","0.00%"
"Apr 12, 2019","141.500","141.370","142.160","141.370","-0.11%"
"Apr 11, 2019","141.650","141.270","141.650","141.270","0.02%"
"Apr 10, 2019","141.625","141.175","141.675","141.175","0.00%"
"Apr 09, 2019","141.625","141.575","141.725","139.625","0.02%"
"Apr 08, 2019","141.600","141.000","141.700","139.300","0.11%"
"Apr 06, 2019","141.450","141.450","141.450","141.450","0.00%"
"Apr 05, 2019","141.450","141.550","141.830","139.800","-0.09%"
"Apr 04, 2019","141.575","140.575","141.825","139.675","-0.05%"
"Apr 03, 2019","141.650","140.250","141.800","139.600","0.96%"
"Apr 02, 2019","140.300","141.100","141.450","139.650","-0.39%"
"Apr 01, 2019","140.850","140.750","141.040","138.550","0.04%"
"Mar 30, 2019","140.800","140.800","140.800","140.800","0.00%"
"Mar 29, 2019","140.800","139.300","140.900","139.300","0.16%"
"Mar 28, 2019","140.575","139.375","140.625","139.085","0.00%"
"Mar 27, 2019","140.575","139.375","140.625","139.375","-0.02%"
"Mar 26, 2019","140.600","140.600","140.630","139.300","0.00%"
